cnty_nme;Amy;Kobey;prop
Aitkin;1588;25;0.984500929944203
Anoka;31324;1847;0.944318832715324
Becker;2290;49;0.979050876442924
Beltrami;3659;146;0.961629434954008
Benton;1904;124;0.938856015779093
Big Stone;392;4;0.98989898989899
Blue Earth;5508;374;0.936416184971098
Brown;1606;38;0.976885644768856
Carlton;3892;114;0.971542685971043
Carver;10215;348;0.967054813973303
Cass;2327;49;0.979377104377104
Chippewa;724;26;0.965333333333333
Chisago;3944;149;0.963596384070364
Clay;5106;349;0.936021998166819
Clearwater;496;24;0.953846153846154
Cook;1403;43;0.970262793914246
Cottonwood;423;16;0.963553530751708
Crow Wing;4884;127;0.974655757333865
Dakota;55404;2813;0.951680780528024
Dodge;1043;48;0.956003666361137
Douglas;2895;76;0.974419387411646
Faribault;1118;37;0.967965367965368
Fillmore;1537;42;0.973400886637112
Freeborn;1973;52;0.974320987654321
Goodhue;4306;145;0.967423050999775
Grant;540;14;0.974729241877256
Hennepin;204781;18093;0.91881960210702
Houston;1351;40;0.971243709561467
Hubbard;1749;43;0.976004464285714
Isanti;2492;91;0.964769647696477
Itasca;4298;77;0.9824
Jackson;498;21;0.959537572254335
Kanabec;914;27;0.971307120085016
Kandiyohi;2807;78;0.972963604852686
Kittson;457;5;0.989177489177489
Koochiching;1023;21;0.979885057471264
Lac Qui Parle;505;20;0.961904761904762
Lake;1602;47;0.971497877501516
Lake Of The Woods;250;4;0.984251968503937
Le Sueur;2020;57;0.972556571978816
Lincoln;276;5;0.98220640569395
Lyon;1301;37;0.972346786248132
Mahnomen;378;10;0.974226804123711
Marshall;451;16;0.965738758029979
Martin;883;16;0.982202447163515
Mcleod;1698;93;0.948073701842546
Meeker;1204;23;0.981255093724531
Mille Lacs;1281;60;0.955257270693512
Morrison;1375;44;0.968992248062015
Mower;2268;85;0.963875903102423
Murray;452;10;0.978354978354978
Nicollet;3070;164;0.949288806431664
Nobles;645;34;0.949926362297496
Norman;570;15;0.974358974358974
Olmsted;17444;862;0.952911613678575
Otter Tail;3825;71;0.981776180698152
Pennington;516;23;0.957328385899815
Pine;1933;50;0.974785678265255
Pipestone;478;17;0.965656565656566
Polk;1482;63;0.959223300970874
Pope;864;16;0.981818181818182
Ramsey;78614;6997;0.918269848500777
Red Lake;257;2;0.992277992277992
Redwood;734;34;0.955729166666667
Renville;611;17;0.972929936305732
Rice;6436;280;0.95830851697439
Rock;561;37;0.938127090301003
Roseau;574;26;0.956666666666667
Scott;12895;629;0.953490091688849
Sherburne;4867;284;0.944865074742768
Sibley;1013;36;0.965681601525262
St. Louis;26010;1035;0.961730449251248
Stearns;10054;482;0.954252088078967
Steele;2231;75;0.967476149176062
Stevens;640;33;0.950965824665676
Swift;659;14;0.979197622585438
Todd;1053;34;0.968721251149954
Traverse;192;2;0.989690721649485
Wabasha;1671;44;0.974344023323615
Wadena;735;19;0.974801061007958
Waseca;978;43;0.957884427032321
Washington;31813;1349;0.9593209094747
Watonwan;599;13;0.97875816993464
Wilkin;283;7;0.975862068965517
Winona;4128;213;0.950932964754665
Wright;8513;365;0.95888713674251
Yellow Medicine;580;20;0.966666666666667
