prcnt_nme;Amy;Kobey;prop
ST. PAUL W-1 P-01;57;7;0.890625
ST. PAUL W-1 P-02;1058;110;0.905821917808219
ST. PAUL W-1 P-03;254;55;0.822006472491909
ST. PAUL W-1 P-04;288;79;0.784741144414169
ST. PAUL W-1 P-05;259;34;0.883959044368601
ST. PAUL W-1 P-06;284;52;0.845238095238095
ST. PAUL W-1 P-07;936;110;0.894837476099426
ST. PAUL W-1 P-08;401;51;0.88716814159292
ST. PAUL W-1 P-09;158;49;0.763285024154589
ST. PAUL W-1 P-10;1015;126;0.889570552147239
ST. PAUL W-1 P-11;139;11;0.926666666666667
ST. PAUL W-1 P-12;169;44;0.793427230046948
ST. PAUL W-1 P-13;121;27;0.817567567567568
ST. PAUL W-2 P-01;615;83;0.8810888252149
ST. PAUL W-2 P-02;540;54;0.909090909090909
ST. PAUL W-2 P-03;295;46;0.865102639296188
ST. PAUL W-2 P-04;604;65;0.902840059790732
ST. PAUL W-2 P-05;1022;92;0.917414721723519
ST. PAUL W-2 P-06;891;83;0.914784394250513
ST. PAUL W-2 P-07;794;130;0.859307359307359
ST. PAUL W-2 P-08;701;64;0.916339869281046
ST. PAUL W-2 P-09;521;79;0.868333333333333
ST. PAUL W-2 P-10;269;42;0.864951768488746
ST. PAUL W-2 P-11;717;101;0.876528117359413
ST. PAUL W-2 P-12;409;53;0.885281385281385
ST. PAUL W-2 P-13;57;17;0.77027027027027
ST. PAUL W-3 P-01;1246;74;0.943939393939394
ST. PAUL W-3 P-02;1440;97;0.936890045543266
ST. PAUL W-3 P-03;1254;69;0.947845804988662
ST. PAUL W-3 P-04;1315;50;0.963369963369963
ST. PAUL W-3 P-05;602;54;0.917682926829268
ST. PAUL W-3 P-06;858;47;0.948066298342541
ST. PAUL W-3 P-07;469;62;0.883239171374765
ST. PAUL W-3 P-08;659;37;0.94683908045977
ST. PAUL W-3 P-09;1213;103;0.921732522796353
ST. PAUL W-3 P-10;1159;73;0.940746753246753
ST. PAUL W-3 P-11;692;47;0.936400541271989
ST. PAUL W-3 P-12;204;23;0.898678414096916
ST. PAUL W-3 P-13;1057;87;0.923951048951049
ST. PAUL W-4 P-01;722;46;0.940104166666667
ST. PAUL W-4 P-02;667;79;0.894101876675603
ST. PAUL W-4 P-03;810;138;0.854430379746835
ST. PAUL W-4 P-04;807;103;0.886813186813187
ST. PAUL W-4 P-05;504;54;0.903225806451613
ST. PAUL W-4 P-06;944;126;0.882242990654206
ST. PAUL W-4 P-07;982;195;0.834324553950722
ST. PAUL W-4 P-08;827;186;0.816386969397828
ST. PAUL W-4 P-09;342;51;0.870229007633588
ST. PAUL W-4 P-10;433;87;0.832692307692308
ST. PAUL W-4 P-11;450;64;0.875486381322957
ST. PAUL W-4 P-12;926;59;0.94010152284264
ST. PAUL W-4 P-13;921;64;0.93502538071066
ST. PAUL W-5 P-01;976;89;0.916431924882629
ST. PAUL W-5 P-02;507;41;0.925182481751825
ST. PAUL W-5 P-03;846;126;0.87037037037037
ST. PAUL W-5 P-04;625;80;0.886524822695036
ST. PAUL W-5 P-05;118;25;0.825174825174825
ST. PAUL W-5 P-06;295;60;0.830985915492958
ST. PAUL W-5 P-07;346;44;0.887179487179487
ST. PAUL W-5 P-08;293;36;0.890577507598784
ST. PAUL W-5 P-09;189;54;0.777777777777778
ST. PAUL W-5 P-10;182;22;0.892156862745098
ST. PAUL W-6 P-01;182;36;0.834862385321101
ST. PAUL W-6 P-02;490;60;0.890909090909091
ST. PAUL W-6 P-03;208;28;0.88135593220339
ST. PAUL W-6 P-04;176;26;0.871287128712871
ST. PAUL W-6 P-05;259;39;0.869127516778524
ST. PAUL W-6 P-06;175;42;0.806451612903226
ST. PAUL W-6 P-07;124;27;0.821192052980132
ST. PAUL W-6 P-08;186;24;0.885714285714286
ST. PAUL W-6 P-09;176;17;0.911917098445596
ST. PAUL W-6 P-10;267;21;0.927083333333333
ST. PAUL W-6 P-11;323;32;0.909859154929577
ST. PAUL W-7 P-01;247;42;0.854671280276817
ST. PAUL W-7 P-02;98;15;0.867256637168142
ST. PAUL W-7 P-03;178;44;0.801801801801802
ST. PAUL W-7 P-04;223;35;0.864341085271318
ST. PAUL W-7 P-05;325;37;0.897790055248619
ST. PAUL W-7 P-06;198;32;0.860869565217391
ST. PAUL W-7 P-07;149;15;0.908536585365854
ST. PAUL W-7 P-08;334;26;0.927777777777778
ST. PAUL W-7 P-09;218;28;0.886178861788618
ST. PAUL W-7 P-10;264;28;0.904109589041096
ST. PAUL W-7 P-11;127;27;0.824675324675325
ST. PAUL W-7 P-12;406;39;0.912359550561798
ST. PAUL W-7 P-13;434;26;0.943478260869565
