cnty_nme;Amy;R;prop
Aitkin;1588;2629;0.376571022053593
Anoka;31324;28846;0.520591656971913
Becker;2290;3797;0.376211598488582
Beltrami;3659;3162;0.536431608268582
Benton;1904;4116;0.316279069767442
Big Stone;392;556;0.413502109704641
Blue Earth;5508;4076;0.574707846410685
Brown;1606;2668;0.375760411792232
Carlton;3892;2993;0.565286855482934
Carver;10215;10290;0.498171177761522
Cass;2327;4381;0.346899224806202
Chippewa;724;1074;0.402669632925473
Chisago;3944;5572;0.414459857082808
Clay;5106;2821;0.644127664942601
Clearwater;496;1351;0.268543584190579
Cook;1403;503;0.736096537250787
Cottonwood;423;920;0.314966492926284
Crow Wing;4884;8070;0.377026401111626
Dakota;55404;29508;0.652487280949689
Dodge;1043;1868;0.358296118172449
Douglas;2895;4805;0.375974025974026
Faribault;1118;2337;0.323589001447178
Fillmore;1537;1939;0.442174913693901
Freeborn;1973;2397;0.451487414187643
Goodhue;4306;4512;0.488319346790656
Grant;540;712;0.431309904153355
Hennepin;204781;55565;0.786572484309342
Houston;1351;1516;0.471224276246948
Hubbard;1749;2547;0.407122905027933
Isanti;2492;5078;0.329194187582563
Itasca;4298;5005;0.462001504890895
Jackson;498;1083;0.314990512333966
Kanabec;914;1673;0.353304986470816
Kandiyohi;2807;4194;0.400942722468219
Kittson;457;521;0.467280163599182
Koochiching;1023;1364;0.428571428571429
Lac Qui Parle;505;760;0.399209486166008
Lake;1602;1083;0.596648044692738
Lake Of The Woods;250;584;0.299760191846523
Le Sueur;2020;3245;0.38366571699905
Lincoln;276;473;0.36849132176235
Lyon;1301;2364;0.354979536152797
Mahnomen;378;384;0.496062992125984
Marshall;451;1091;0.292477302204929
Martin;883;1899;0.317397555715313
Mcleod;1698;3306;0.339328537170264
Meeker;1204;2605;0.316093462851142
Mille Lacs;1281;2787;0.314896755162242
Morrison;1375;5669;0.195201590005679
Mower;2268;2210;0.506476105404198
Murray;452;1009;0.309377138945927
Nicollet;3070;2454;0.555756698044895
Nobles;645;1359;0.32185628742515
Norman;570;646;0.46875
Olmsted;17444;12079;0.590861362327677
Otter Tail;3825;6854;0.358179604831913
Pennington;516;835;0.381939304219097
Pine;1933;3179;0.378129890453834
Pipestone;478;1549;0.235816477553034
Polk;1482;2314;0.39041095890411
Pope;864;1298;0.399629972247919
Ramsey;78614;19792;0.798874052395179
Red Lake;257;402;0.389984825493172
Redwood;734;1580;0.317199654278306
Renville;611;1226;0.332607512248231
Rice;6436;4864;0.569557522123894
Rock;561;1015;0.355964467005076
Roseau;574;1524;0.273593898951382
Scott;12895;12412;0.509542814241119
Sherburne;4867;9223;0.34542228530873
Sibley;1013;2217;0.313622291021672
St. Louis;26010;12640;0.672962483829237
Stearns;10054;16323;0.381165409258066
Steele;2231;3189;0.411623616236162
Stevens;640;902;0.415045395590143
Swift;659;928;0.415248897290485
Todd;1053;3116;0.252578556008635
Traverse;192;371;0.341030195381883
Wabasha;1671;2331;0.417541229385307
Wadena;735;2255;0.245819397993311
Waseca;978;1586;0.381435257410296
Washington;31813;19355;0.621736241400876
Watonwan;599;923;0.393561103810775
Wilkin;283;495;0.363753213367609
Winona;4128;3351;0.551945447252306
Wright;8513;13670;0.383762340531037
Yellow Medicine;580;1104;0.344418052256532
