prcnt_nme;Amy;R;prop
ST. PAUL W-1 P-01;57;1;0.982758620689655
ST. PAUL W-1 P-02;1058;75;0.933804060017652
ST. PAUL W-1 P-03;254;27;0.903914590747331
ST. PAUL W-1 P-04;288;29;0.908517350157729
ST. PAUL W-1 P-05;259;19;0.931654676258993
ST. PAUL W-1 P-06;284;20;0.93421052631579
ST. PAUL W-1 P-07;936;70;0.930417495029821
ST. PAUL W-1 P-08;401;39;0.911363636363636
ST. PAUL W-1 P-09;158;36;0.814432989690722
ST. PAUL W-1 P-10;1015;89;0.919384057971014
ST. PAUL W-1 P-11;139;24;0.852760736196319
ST. PAUL W-1 P-12;169;37;0.820388349514563
ST. PAUL W-1 P-13;121;28;0.812080536912752
ST. PAUL W-2 P-01;615;52;0.922038980509745
ST. PAUL W-2 P-02;540;115;0.824427480916031
ST. PAUL W-2 P-03;295;26;0.919003115264798
ST. PAUL W-2 P-04;604;88;0.872832369942197
ST. PAUL W-2 P-05;1022;48;0.955140186915888
ST. PAUL W-2 P-06;891;82;0.915724563206578
ST. PAUL W-2 P-07;794;78;0.910550458715596
ST. PAUL W-2 P-08;701;68;0.911573472041612
ST. PAUL W-2 P-09;521;67;0.886054421768708
ST. PAUL W-2 P-10;269;53;0.835403726708075
ST. PAUL W-2 P-11;717;86;0.892901618929016
ST. PAUL W-2 P-12;409;49;0.893013100436681
ST. PAUL W-2 P-13;57;15;0.791666666666667
ST. PAUL W-3 P-01;1246;152;0.891273247496424
ST. PAUL W-3 P-02;1440;148;0.906801007556675
ST. PAUL W-3 P-03;1254;152;0.891891891891892
ST. PAUL W-3 P-04;1315;120;0.916376306620209
ST. PAUL W-3 P-05;602;75;0.889217134416544
ST. PAUL W-3 P-06;858;122;0.875510204081633
ST. PAUL W-3 P-07;469;16;0.96701030927835
ST. PAUL W-3 P-08;659;49;0.930790960451977
ST. PAUL W-3 P-09;1213;120;0.909977494373593
ST. PAUL W-3 P-10;1159;179;0.866218236173393
ST. PAUL W-3 P-11;692;83;0.892903225806452
ST. PAUL W-3 P-12;204;13;0.940092165898618
ST. PAUL W-3 P-13;1057;91;0.920731707317073
ST. PAUL W-4 P-01;722;27;0.963951935914553
ST. PAUL W-4 P-02;667;38;0.946099290780142
ST. PAUL W-4 P-03;810;42;0.950704225352113
ST. PAUL W-4 P-04;807;85;0.904708520179372
ST. PAUL W-4 P-05;504;57;0.898395721925134
ST. PAUL W-4 P-06;944;76;0.925490196078431
ST. PAUL W-4 P-07;982;72;0.93168880455408
ST. PAUL W-4 P-08;827;84;0.907793633369923
ST. PAUL W-4 P-09;342;37;0.902374670184697
ST. PAUL W-4 P-10;433;23;0.949561403508772
ST. PAUL W-4 P-11;450;65;0.87378640776699
ST. PAUL W-4 P-12;926;107;0.896418199419168
ST. PAUL W-4 P-13;921;138;0.869688385269122
ST. PAUL W-5 P-01;976;171;0.850915431560593
ST. PAUL W-5 P-02;507;56;0.900532859680284
ST. PAUL W-5 P-03;846;103;0.891464699683878
ST. PAUL W-5 P-04;625;116;0.843454790823212
ST. PAUL W-5 P-05;118;34;0.776315789473684
ST. PAUL W-5 P-06;295;74;0.799457994579946
ST. PAUL W-5 P-07;346;83;0.806526806526806
ST. PAUL W-5 P-08;293;55;0.841954022988506
ST. PAUL W-5 P-09;189;48;0.79746835443038
ST. PAUL W-5 P-10;182;13;0.933333333333333
ST. PAUL W-6 P-01;182;45;0.801762114537445
ST. PAUL W-6 P-02;490;73;0.870337477797513
ST. PAUL W-6 P-03;208;77;0.729824561403509
ST. PAUL W-6 P-04;176;52;0.771929824561403
ST. PAUL W-6 P-05;259;81;0.761764705882353
ST. PAUL W-6 P-06;175;36;0.829383886255924
ST. PAUL W-6 P-07;124;41;0.751515151515152
ST. PAUL W-6 P-08;186;44;0.808695652173913
ST. PAUL W-6 P-09;176;84;0.676923076923077
ST. PAUL W-6 P-10;267;106;0.715817694369973
ST. PAUL W-6 P-11;323;121;0.727477477477478
ST. PAUL W-7 P-01;247;43;0.851724137931035
ST. PAUL W-7 P-02;98;25;0.796747967479675
ST. PAUL W-7 P-03;178;32;0.847619047619048
ST. PAUL W-7 P-04;223;53;0.807971014492754
ST. PAUL W-7 P-05;325;74;0.81453634085213
ST. PAUL W-7 P-06;198;67;0.747169811320755
ST. PAUL W-7 P-07;149;52;0.741293532338308
ST. PAUL W-7 P-08;334;90;0.787735849056604
ST. PAUL W-7 P-09;218;100;0.685534591194969
ST. PAUL W-7 P-10;264;90;0.745762711864407
ST. PAUL W-7 P-11;127;28;0.819354838709677
ST. PAUL W-7 P-12;406;78;0.838842975206612
ST. PAUL W-7 P-13;434;129;0.770870337477798
