cnty_nme;Craig;Flanagan;prop
Aitkin;913;709;0.43711467324291
Anoka;14490;20694;0.588165075034106
Becker;900;1435;0.614561027837259
Beltrami;1353;2623;0.659708249496982
Benton;886;1204;0.576076555023923
Big Stone;212;185;0.465994962216625
Blue Earth;2303;3781;0.62146614069691
Brown;860;808;0.484412470023981
Carlton;1264;2779;0.687360870640613
Carver;5036;5798;0.535167066642053
Cass;1221;1200;0.495662949194548
Chippewa;432;317;0.423230974632844
Chisago;2100;2086;0.498327759197324
Clay;1779;3799;0.681068483327358
Clearwater;185;342;0.648956356736243
Cook;410;1059;0.720898570456093
Cottonwood;232;211;0.476297968397291
Crow Wing;2679;2408;0.47336347552585
Dakota;30616;30562;0.499558664879532
Dodge;442;654;0.596715328467153
Douglas;1644;1355;0.451817272424141
Faribault;644;532;0.452380952380952
Fillmore;697;905;0.564918851435705
Freeborn;901;1156;0.56198347107438
Goodhue;2501;2062;0.451895682664913
Grant;323;231;0.416967509025271
Hennepin;85173;153036;0.64244424014206
Houston;493;898;0.645578720345076
Hubbard;872;948;0.520879120879121
Isanti;1309;1341;0.506037735849057
Itasca;1973;2406;0.549440511532313
Jackson;276;253;0.478260869565217
Kanabec;502;475;0.48618219037871
Kandiyohi;1589;1304;0.450743173176633
Kittson;145;292;0.668192219679634
Koochiching;368;675;0.647171620325983
Lac Qui Parle;266;271;0.504655493482309
Lake;467;1189;0.717995169082126
Lake Of The Woods;100;145;0.591836734693878
Le Sueur;1310;817;0.384109073812882
Lincoln;128;150;0.539568345323741
Lyon;639;714;0.527716186252772
Mahnomen;123;260;0.678851174934726
Marshall;194;250;0.563063063063063
Martin;444;466;0.512087912087912
Mcleod;915;947;0.50859291084855
Meeker;719;520;0.419693301049233
Mille Lacs;648;722;0.527007299270073
Morrison;770;669;0.464906184850591
Mower;1163;1243;0.516625103906899
Murray;198;258;0.565789473684211
Nicollet;1352;2003;0.597019374068554
Nobles;232;445;0.657311669128508
Norman;253;294;0.537477148080439
Olmsted;5767;12973;0.692262540021345
Otter Tail;1702;2192;0.562917308680021
Pennington;203;336;0.623376623376623
Pine;980;1026;0.511465603190429
Pipestone;185;285;0.606382978723404
Polk;617;901;0.593544137022398
Pope;477;407;0.460407239819005
Ramsey;31986;59369;0.649871380876799
Red Lake;97;151;0.608870967741936
Redwood;359;412;0.534370946822309
Renville;374;267;0.416536661466459
Rice;3499;3473;0.498135398737808
Rock;180;415;0.697478991596639
Roseau;236;355;0.600676818950931
Scott;7212;6936;0.490245971162002
Sherburne;2347;2954;0.557253348424826
Sibley;602;459;0.432610744580584
St. Louis;8384;19372;0.697939184320507
Stearns;4628;6372;0.579272727272727
Steele;1126;1248;0.525695029486099
Stevens;288;403;0.583212735166426
Swift;409;263;0.391369047619048
Todd;623;494;0.442256042972247
Traverse;136;56;0.291666666666667
Wabasha;990;765;0.435897435897436
Wadena;399;358;0.472919418758256
Waseca;504;540;0.517241379310345
Washington;16163;18230;0.530049719419649
Watonwan;322;296;0.478964401294498
Wilkin;127;155;0.549645390070922
Winona;1483;2951;0.66553901668922
Wright;4222;4848;0.534509371554576
Yellow Medicine;311;297;0.488486842105263
