prcnt_nme;Craig;Flanagan;prop
ST. PAUL W-1 P-01;17;72;0.808988764044944
ST. PAUL W-1 P-02;402;868;0.683464566929134
ST. PAUL W-1 P-03;79;283;0.781767955801105
ST. PAUL W-1 P-04;77;325;0.808457711442786
ST. PAUL W-1 P-05;71;273;0.793604651162791
ST. PAUL W-1 P-06;71;298;0.807588075880759
ST. PAUL W-1 P-07;300;864;0.742268041237113
ST. PAUL W-1 P-08;115;376;0.765784114052953
ST. PAUL W-1 P-09;56;187;0.769547325102881
ST. PAUL W-1 P-10;327;912;0.736077481840194
ST. PAUL W-1 P-11;65;102;0.610778443113773
ST. PAUL W-1 P-12;45;195;0.8125
ST. PAUL W-1 P-13;33;132;0.8
ST. PAUL W-2 P-01;226;505;0.690834473324213
ST. PAUL W-2 P-02;157;490;0.757341576506955
ST. PAUL W-2 P-03;92;277;0.750677506775068
ST. PAUL W-2 P-04;161;563;0.777624309392265
ST. PAUL W-2 P-05;385;800;0.675105485232067
ST. PAUL W-2 P-06;388;659;0.629417382999045
ST. PAUL W-2 P-07;270;732;0.730538922155689
ST. PAUL W-2 P-08;299;531;0.639759036144578
ST. PAUL W-2 P-09;172;491;0.740573152337858
ST. PAUL W-2 P-10;79;265;0.770348837209302
ST. PAUL W-2 P-11;187;719;0.793598233995585
ST. PAUL W-2 P-12;89;415;0.823412698412698
ST. PAUL W-2 P-13;15;73;0.829545454545455
ST. PAUL W-3 P-01;596;788;0.569364161849711
ST. PAUL W-3 P-02;575;1061;0.648533007334963
ST. PAUL W-3 P-03;621;769;0.553237410071943
ST. PAUL W-3 P-04;632;778;0.55177304964539
ST. PAUL W-3 P-05;235;464;0.663805436337625
ST. PAUL W-3 P-06;405;551;0.576359832635983
ST. PAUL W-3 P-07;176;394;0.691228070175439
ST. PAUL W-3 P-08;261;457;0.636490250696379
ST. PAUL W-3 P-09;420;995;0.703180212014134
ST. PAUL W-3 P-10;581;720;0.553420445810915
ST. PAUL W-3 P-11;305;460;0.601307189542484
ST. PAUL W-3 P-12;66;175;0.726141078838174
ST. PAUL W-3 P-13;409;787;0.658026755852843
ST. PAUL W-4 P-01;355;461;0.564950980392157
ST. PAUL W-4 P-02;227;569;0.714824120603015
ST. PAUL W-4 P-03;185;884;0.826941066417212
ST. PAUL W-4 P-04;278;723;0.722277722277722
ST. PAUL W-4 P-05;226;373;0.622704507512521
ST. PAUL W-4 P-06;312;867;0.735368956743003
ST. PAUL W-4 P-07;210;1105;0.840304182509506
ST. PAUL W-4 P-08;202;914;0.818996415770609
ST. PAUL W-4 P-09;130;303;0.699769053117783
ST. PAUL W-4 P-10;91;482;0.841186736474695
ST. PAUL W-4 P-11;110;440;0.8
ST. PAUL W-4 P-12;400;644;0.616858237547893
ST. PAUL W-4 P-13;331;748;0.693234476367007
ST. PAUL W-5 P-01;340;789;0.698848538529672
ST. PAUL W-5 P-02;165;414;0.715025906735751
ST. PAUL W-5 P-03;251;808;0.762983947119925
ST. PAUL W-5 P-04;206;553;0.728590250329381
ST. PAUL W-5 P-05;43;121;0.737804878048781
ST. PAUL W-5 P-06;103;300;0.744416873449132
ST. PAUL W-5 P-07;124;314;0.71689497716895
ST. PAUL W-5 P-08;91;274;0.750684931506849
ST. PAUL W-5 P-09;57;225;0.797872340425532
ST. PAUL W-5 P-10;61;152;0.713615023474178
ST. PAUL W-6 P-01;46;191;0.805907172995781
ST. PAUL W-6 P-02;132;469;0.780366056572379
ST. PAUL W-6 P-03;72;181;0.715415019762846
ST. PAUL W-6 P-04;70;144;0.672897196261682
ST. PAUL W-6 P-05;79;249;0.759146341463415
ST. PAUL W-6 P-06;52;193;0.787755102040816
ST. PAUL W-6 P-07;40;137;0.774011299435028
ST. PAUL W-6 P-08;57;167;0.745535714285714
ST. PAUL W-6 P-09;72;142;0.663551401869159
ST. PAUL W-6 P-10;84;225;0.728155339805825
ST. PAUL W-6 P-11;110;267;0.708222811671088
ST. PAUL W-7 P-01;61;260;0.809968847352025
ST. PAUL W-7 P-02;26;95;0.785123966942149
ST. PAUL W-7 P-03;53;205;0.794573643410853
ST. PAUL W-7 P-04;66;220;0.769230769230769
ST. PAUL W-7 P-05;113;292;0.720987654320988
ST. PAUL W-7 P-06;68;182;0.728
ST. PAUL W-7 P-07;67;116;0.633879781420765
ST. PAUL W-7 P-08;134;244;0.645502645502646
ST. PAUL W-7 P-09;72;202;0.737226277372263
ST. PAUL W-7 P-10;70;240;0.774193548387097
ST. PAUL W-7 P-11;38;139;0.785310734463277
ST. PAUL W-7 P-12;169;332;0.662674650698603
ST. PAUL W-7 P-13;167;336;0.667992047713718
